incident_zip
11355
11377
10012
10003
10460
11213
11368
11203
11432
11369
11694
10466
10011
11226
10451
11234
11421
11207
11223
10025
11365
11218
10453
11422
11235
11105
11220
10022
11205
11201
11217
11249
10463
11212
11221
11206
11385
10458
10028
11211
10457
11691
10016
11427
10002
11357
11210
11101
11239
11208
10009
10021
10455
11420
11434
11423
11222
11228
10305
11236
11209
11361
11412
11429
10017
11418
10039
10456
10308
11419
11356
11214
11237
10469
11372
10036
11379
11231
11229
10001
11233
10014
11417
10472
11378
10031
10461
10452
11373
10027
10026
11433
11238
11435
10467
10033
11358
10128
10007
10454
10013
11366
10459
11375
11219
10468
11364
10464
11374
10032
11103
11430
10018
11370
11004
11232
10004
10310
10023
10462
10010
10307
10037
11204
10312
10029
10040
11106
11411
10304
11415
11216
10471
10465
11102
10024
10306
11414
11230
10075
UNKNOWN
10030
10065
11362
10034
11225
10038
10314
11104
11354
10006
10473
10301
11692
10019
11416
11426
11215
10475
10118
11360
11436
10309
11428
10302
10005
10035
10303
11224
10282
10121
11693
10044
11413
11367
10470
11001
10105
11363
10169
10474
10069
11040
11697
10020
10103
10165
10106
10000
10172
11109
10154
37421
10120
11005
10280
11242
10107
10048
10112
10153
11359
10278
10170
10162
10111
