complaint_type
Street Condition
Noise - Residential
Noise - Street/Sidewalk
For Hire Vehicle Complaint
Illegal Parking
Blocked Driveway
Noise - Vehicle
Food Establishment
Overgrown Tree/Branches
Damaged Tree
Drinking
Illegal Fireworks
Noise - Commercial
Dirty Condition
Illegal Tree Damage
Residential Disposal Complaint
Dead/Dying Tree
Litter Basket Complaint
Obstruction
Abandoned Vehicle
Cannabis Retailer
Panhandling
Root/Sewer/Sidewalk Condition
Consumer Complaint
Animal-Abuse
Encampment
Non-Emergency Police Matter
Drug Activity
Street Light Condition
Dead Animal
Homeless Person Assistance
Sidewalk Condition
Noise - House of Worship
Indoor Air Quality
Lost Property
Traffic
Illegal Dumping
Food Poisoning
Outdoor Dining
Illegal Posting
Smoking or Vaping
HEAT/HOT WATER
Traffic Signal Condition
Building Drinking Water Tank
Water System
Noise - Park
PAINT/PLASTER
PLUMBING
FLOORING/STAIRS
UNSANITARY CONDITION
Rodent
Maintenance or Facility
Lead
Noise
WATER LEAK
DOOR/WINDOW
GENERAL
APPLIANCE
Violation of Park Rules
Wood Pile Remaining
ELECTRIC
Sewer
Indoor Sewage
Asbestos
Curb Condition
Unleashed Dog
Air Quality
Taxi Complaint
Graffiti
Vendor Enforcement
Abandoned Bike
Construction Lead Dust
SAFETY
Bridge Condition
Water Conservation
Street Sign - Dangling
Missed Collection
ELEVATOR
Urinating in Public
Animal in a Park
Lot Condition
Noise - Helicopter
General Construction/Plumbing
Elevator
Building/Use
Drinking Water
Commercial Disposal Complaint
Street Sweeping Complaint
Electrical
Bike/Roller/Skate
Poison Ivy
Plumbing
Street Sign - Damaged
Bus Stop Shelter Complaint
Taxi Report
Street Sign - Missing
Litter Basket Request
Industrial Waste
Real Time Enforcement
Uprooted Stump
Cranes and Derricks
Water Quality
Day Care
Mold
Unsanitary Animal Pvt Property
Emergency Response Team (ERT)
Broken Parking Meter
Unsanitary Pigeon Condition
Mobile Food Vendor
Hazardous Materials
New Tree Request
Pet Sale
Derelict Vehicles
Boilers
Special Projects Inspection Team (SPIT)
Ferry Inquiry
Dumpster Complaint
Bench
Bus Stop Shelter Placement
Scaffold Safety
OUTSIDE BUILDING
Mosquitoes
Sanitation Worker or Vehicle Complaint
Ferry Complaint
Highway Condition
BEST/Site Safety
For Hire Vehicle Report
Standing Water
Green Taxi Complaint
Harboring Bees/Wasps
Bike Rack
Investigations and Discipline (IAD)
Lifeguard
Taxi Compliment
LinkNYC
Tattooing
Found Property
Animal Facility - No Permit
Illegal Animal Sold
Disorderly Youth
Beach/Pool/Sauna Complaint
Illegal Animal Kept as Pet
Tobacco or Non-Tobacco Sale
Recycling Basket Complaint
Public Toilet
Plant
Leaning Bar
E-Scooter
Cooling Tower
Oil or Gas Spill
Highway Sign - Damaged
