location_type
UNKNOWN
Residential Building/House
Street/Sidewalk
Street
Restaurant/Bar/Deli/Bakery
Club/Bar/Restaurant
Sidewalk
Store/Commercial
Business
Other
House of Worship
3+ Family Apartment Building
Taxi
Residential Building
RESIDENTIAL BUILDING
Ground
Park/Playground
Vacant Lot
Park
1-2 Family Dwelling
3+ Family Apt. Building
Other (Explain Below)
Curb
Public/Unfenced Area
Street/Curbside
3+ Family Mixed Use Building
Mixed Use
Bridge
Residential
Gutter
Yard
Lot
Above Address
1-3 Family Dwelling
Highway
Subway
Bus Stop Shelter
Alley
Private School
Commercial Building
Subway Station
Mobile Food Vendor
Intersection
Private Residence
Restaurant
Ferry
Traffic Island or Median
Public Park/Garden
Private House
Comercial
Public School
Crosswalk
Pool
Roadway Tunnel
N/A
Stairwell
Lobby
Tattoo Parlor
1-2 Family Mixed Use Building
Common Area
Parking Lot or Garage
Commercial
Other (explain in Complaint Details)
Kennel/Animal Shelter
Catering Service
Street Vendor
Government Building
Office Building
Retail Store
Vehicle Lane
Hallway
Food Establishment or Vendor
Food Cart Vendor
School - College/University
Public Garden/Park
Apartment
Construction Site
Bike Lane
Parking Lot
Beach
Green Cart Vendor
Residence
Vacant Building
Hospital
Terminal
Parking Lot/Garage
Loft Building - Common Areas
Street Fair Vendor
Speed Reducer
Private Property
Airport or Train/Bus Station
Pier
Residential Property
Overpass
